uuid,current_minute,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_attacks,away_attacks,home_dangerous_attacks,away_dangerous_attacks,home_corners,away_corners,home_off_target,away_off_target,home_on_target,away_on_target,home_possession,away_possession,final_delta
fa805e5e-42a4-4b37-9d14-4ea54d2be3ad,96,1,1,1,1,0,0,67,60,50,58,2,5,3,11,3,4,51,49,0
ed920c1a-6ba3-4bf1-b943-accaf3c22e8f,90,0,0,1,1,0,0,107,95,39,39,2,2,4,3,1,4,56,44,0
0cb6facb-3b59-4eeb-be25-c2f87eb00176,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,77,23,5
4b8397fe-0523-419a-8427-c5571c0934d6,23,0,1,1,0,0,0,30,36,20,7,2,2,1,1,1,2,54,46,1
d7756f6b-c174-4c00-bf8a-a4c63ea21e3f,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,4
fb604179-5c27-4c3a-ae05-439eb00f4557,14,0,1,4,4,0,0,15,27,7,18,0,1,0,0,0,1,48,52,3
9ec1086d-6a1f-41fe-a386-753438d01cdd,79,0,0,0,0,0,0,99,103,77,70,4,3,1,4,2,1,45,55,0
9dfe6f9a-5fbb-487c-ba73-ab33a26f1209,19,0,0,1,0,0,0,25,20,11,7,2,1,1,0,0,0,53,47,1
d91d8e0e-d81d-4262-96b3-0b41f620a07f,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
7dfaaf09-298b-4c40-ae79-c95cd8f15d46,67,1,0,0,0,0,0,52,45,31,35,0,1,2,6,1,1,56,44,2
d898d452-66f4-4bd3-9657-d62fc339296d,68,1,0,2,3,0,0,0,0,0,0,5,2,0,0,1,0,59,41,1
a40fbe6d-dc7a-4b47-a2d3-54ffde8ecb3e,99,0,5,1,0,0,0,111,163,61,120,3,5,2,7,5,10,37,63,0
0995bb5e-9889-4c6e-abea-17c90c47627f,6,0,0,0,0,0,0,2,3,1,2,1,0,1,0,0,1,53,47,1
a989bb95-f58b-4be1-bc41-5825ca2ce162,87,1,0,0,0,0,0,48,36,35,24,6,1,11,2,9,1,55,45,0
ecc64199-5a9b-485f-81e3-b6b40f445451,77,4,0,0,0,0,0,99,67,48,25,3,3,3,3,6,5,65,35,0
1b85e0f2-b789-432c-b971-670b5de948de,64,1,1,0,1,0,0,66,57,23,32,0,2,5,2,2,3,48,52,0
58569161-231c-4aac-8535-7bf774f15028,52,0,0,0,0,0,0,44,49,17,15,1,0,2,0,1,1,55,45,1
61c028da-f1ee-4d77-b98a-2289c3ea7b1e,100,1,2,0,2,0,0,56,77,49,64,2,5,3,4,3,3,40,60,0
5f7ae1f0-b804-4ce3-8d04-f5b76acf689b,96,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
d1daf7a6-495b-4892-abbe-cbd173579a58,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,1
dffc819e-3659-458f-b28a-6fde68d4a7c6,82,0,1,1,1,0,0,66,83,57,54,6,2,7,1,3,1,36,64,0
73f653e2-9188-431d-aff6-cfb34d07dcdc,76,0,0,1,3,0,0,81,55,76,43,6,1,4,4,1,1,62,38,1
07c7848d-ba40-4b89-a478-3fdfb7126dd8,93,0,1,0,0,0,0,54,52,37,34,7,3,4,3,1,3,54,46,0
bcc30bc6-bf44-4d04-976e-d20f5f4e9584,85,0,1,0,0,0,0,77,126,53,84,2,3,3,3,2,6,44,56,0
92c97a43-91d8-4456-a9a8-fd71babcb335,91,1,1,0,0,0,0,72,67,45,39,4,1,5,4,6,4,54,46,1
6523ff84-75e6-4364-93f1-c7004eab043c,40,0,0,1,0,0,0,60,51,19,23,0,1,1,2,0,1,54,46,1
974b41bb-389c-46a7-9015-ff5e34ae6648,25,1,0,0,0,0,0,35,23,20,11,3,2,4,1,3,1,66,34,2
f5f60d01-450d-4a46-a229-0f0706e7c03e,70,2,0,0,0,0,0,67,75,22,42,0,5,3,8,1,2,42,58,2
e6ee70bf-7785-4975-8a91-e49476b5abd2,110,2,2,2,3,0,0,78,33,62,10,7,0,7,2,6,2,74,26,1
